Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ
Tø Kh«ng Tö Kim Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-1.spr	22	2	3	Trang bÞ Hoµng Kim	4	49999	10	0	30	720	720	31																		36	90	39	0									2	306	178	317			3						
Tø Kh«ng Hé ph¸p Yªu ®¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Trang bÞ Hoµng Kim	3	49999	10	0	30	160	160	31																		36	85	39	0									2	309	177	311	416	425	3						
Tø Kh«ng NhuyÔn B× Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	135	135	31																		36	95	39	0									2	417	326	311	6	179	3						
Tø Kh«ng Giíi LuËt Ph¸p giíi	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10	0																						36	80	39	0									129	130					3			4628			
H¸m Thiªn Kim Hoµn §¹i Nh·n ThÇn Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Trang bÞ Hoµng Kim	2	49999	10	0	28	55	55	29	165	165	167	-30	-30	31												36	99	39	1									135	50	46	69	110	73	4			4591	4591		
H¸m Thiªn Vò ThÇn T­¬ng Kim Gi¸p	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ Hoµng Kim	0	49999	10	0	30	720	720	31																		36	90	39	1									2	306	180	311			4						
H¸m Thiªn Uy Vò Thóc yªu ®¸i	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	10	0	30	160	160	31																		36	95	39	1									2	309	191	311	416	156	4						
H¸m Thiªn Hæ ®Çu KhÈn Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	0	30	135	135	31																		36	80	39	1									129	130					4			4629			
H¸m Thiªn Thõa Long ChiÕn Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	160	160	31																		36	85	39	1									2	320	192	419	319	190	4						
KÕ NghiÖp B«n L«i Toµn Long th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Trang bÞ Hoµng Kim	2	49999	10	0	28	18	18	29	158	158	167	30	30	31												36	99	39	1									57	51	46	69	110	73	5			4591	4591		
KÕ NghiÖp HuyÒn Vò Hoµng Kim Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	Trang bÞ Hoµng Kim	0	49999	10	0	30	720	720	31																		36	95	39	1									2	40	185	79			5						
KÕ NghiÖp B¹ch Hæ V« Song khÊu	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	10	0	30	160	160	31																		36	90	39	1									2	309	188	311	416	156	5						
KÕ NghiÖp HáaV©n Kú L©n Thñ 	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	0	30	135	135	31																		36	80	39	1									129	130					5			4631			
KÕ NghiÖp Chu T­íc L¨ng V©n Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	160	160	31																		36	85	39	1									2	104	189	311	319	186	5						
Ngù Long L­îng Ng©n B¶o ®ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	2	49999	10	0	28	40	40	29	114	114	167	-20	-20	31												36	99	39	1									57	52	46	69	110	73	6			4591	4591		
Ngù Long ChiÕn ThÇn Phi Qu¶i gi¸p	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	0	49999	10	0																						36	90	39	1									2	438	79	107	280		6			4617	4591		
Ngù Long Thiªn M«n Thóc Yªu hoµn	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	10	0	30	160	160	31																		36	85	39	1									2	309	182	311	416	156	6						
Ngù Long TÊn Phong Hé yÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	0	30	135	135	31																		36	95	39	1									2	327	183	311	319	181	6						
Ngù Long TuyÖt MÖnh ChØ hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10	0																						36	80	39	1									129	130					6			4630			
V« Gian û Thiªn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Trang bÞ Hoµng Kim	0	49999	10	0	28	46	46	29	86	86	167	0	0	31												36	99	39	4									2	43	48	71	113	157	7						
V« Gian Thanh Phong Truy Y	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	24	2	3	Trang bÞ Hoµng Kim	4	49999	10	0	30	720	720	31																		36	90	39	4									2	306	193	317			7						
V« Gian PhÊt V©n Ti ®¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Trang bÞ Hoµng Kim	3	49999	10	0	30	160	160	31																		36	85	39	4									418	309	196	307	6	425	7						
V« Gian CÇm VËn Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	135	135	31																		36	95	39	4									2	329	439	307	6	328	7						
V« Gian B¹ch Ngäc Bµn ChØ 	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10	0																						36	80	39	4									129	130					7			4639			
V« Ma Ma Ni qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ Hoµng Kim	2	49999	10	0	30	315	315	31																		36	85	39	4									2	307	420	309	6	427	8						
V« Ma Tö Kh©m Cµ Sa	0	2	7	\spr\item\equip\armor\obj-fm-cloth03-2.spr	22	2	3	Trang bÞ Hoµng Kim	0	49999	10	0	30	630	630	31																		36	90	39	4									2	306	6	317			8						
V« Ma B¨ng Tinh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	4	49999	10	0	31																					36	80	39	4									129	130					8			4641			
V« Ma TÈy T­îng Ngäc KhÊu 	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Trang bÞ Hoµng Kim	1	49999	10	0	31																					36	95	39	4									1	304	57	146	198	200	8						
V« Ma Hång Truy NhuyÔn Th¸p hµi	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	140	140	31																		36	99	39	4									2	320	199	88	8	330	8						
V« TrÇn Ngäc N÷ Tè T©m qu¸n	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	Trang bÞ Hoµng Kim	3	49999	10	0	30	315	315	31																		36	90	39	4									418	309	197	312	421	420	9						
V« TrÇn Thanh T©m H­íng ThiÖn Ch©u	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Trang bÞ Hoµng Kim	1	49999	10	0																						36	99	39	4									2	88	331	95	8	107	9			130			
V« TrÇn Tõ Bi Ngäc Ban ChØ 	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10	0																						36	80	39	4									129	130					9			4640			
V« TrÇn PhËt T©m Tõ H÷u Yªu Phèi	0	9	0	\spr\item\equip\waist\obj-waist09.spr	36	1	2	Trang bÞ Hoµng Kim	0	49999	10	0																						36	95	39	4									4	158	6	332			9						
V« TrÇn PhËt Quang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10	0	31																					36	85	39	4									2	419	6	203	417	115	9						
Tª Hoµng Phông Nghi ®ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	0	49999	10	0	28	40	40	29	114	114	167	-20	-20	31												36	99	39	5									2	43	48	71	113	159	10			4591			
Tª Hoµng TuÖ T©m Khinh Sa Y	0	2	18	\spr\item\equip\armor\obj-fm-cloth14-1.spr	24	2	3	Trang bÞ Hoµng Kim	4	49999	10	0	30	720	720	31																		36	90	39	5									2	306	207	317			10						
Tª Hoµng Phong TuyÕt B¹ch V©n Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	Trang bÞ Hoµng Kim	3	49999	10	0	30	160	160	31																		36	85	39	5									2	309	206	307	6	426	10						
Tª Hoµng B¨ng Tung CÈm uyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	135	135	31																		36	95	39	5									2	333	439	307	6	204	10						
Tª Hoµng Thóy Ngäc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10	0																						36	80	39	5									129	130					10			4642			
BÝch H¶i Uyªn ¦¬ng Liªn Hoµn ®ao	0	0	5	\spr\item\equip\closeweapon\obj-adsd14.spr	14	2	3	Trang bÞ Hoµng Kim	2	49999	10	0	28	62	62	29	92	92	167	20	20	31												36	99	39	5									4	304	209	148	8	159	11			4591			
BÝch H¶i Hoµn Ch©u Vò Liªn	0	4	0	\spr\item\equip\nick\obj-neck09.spr	36	2	1	Trang bÞ Hoµng Kim	0	49999	10	0																						36	95	39	5									2	95	6	107	88	211	11			4591			
BÝch H¶i Hång Linh Kim Ti ®¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Trang bÞ Hoµng Kim	4	49999	10	0	30	140	140	31																		36	90	39	5									2	309	210	419	421	422	11						
BÝch H¶i Hång L¨ng Ba	0	9	0	\spr\item\equip\waist\obj-waist08.spr	36	1	2	Trang bÞ Hoµng Kim	0	49999	10	0	31																					36	85	39	5									1	296	8	39	78	282	11						
BÝch H¶i Khiªn TÕ ChØ hoµn	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10	0																						36	80	39	5									129	130					11			4643			
U Lung Kim Xµ Ph¸t ®¸i	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	315	315	31																		36	99	39	3									2	302	283	143	6	160	12						
U Lung XÝch YÕt MËt trang	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ Hoµng Kim	2	49999	10	0	30	630	630	31																		36	90	39	3									2	40	225	317	6	334	12						
U Lung Thanh Ng« TriÒn yªu	0	6	1	\spr\item\equip\sash\obj-sash20.spr	32	2	1	Trang bÞ Hoµng Kim	0	49999	10	0	30	140	140	31																		36	80	39	3									2	309	227	307	6	423	12						
U Lung Ng©n ThÒm Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ Hoµng Kim	4	49999	10	0	30	111	111	31																		36	95	39	3									129	130					12			4636			
U Lung MÆc Thï NhuyÔn Lý 	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	140	140	31																		36	85	39	3									1	127	60	103	86	229	12						
Minh ¶o Tµ S¸t §éc NhËn	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Trang bÞ Hoµng Kim	2	49999	10	0	28	40	40	29	114	114	167	-20	-20	31												36	99	39	3									46	69	113	73	41	75	13			41			
Minh ¶o U §éc ¸m Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	Trang bÞ Hoµng Kim	0	49999	10	0	30	720	720	31																		36	90	39	3									418	336	306	307	6	417	13						
Minh ¶o §éc YÕt ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Trang bÞ Hoµng Kim	4	49999	10	0																						36	80	39	3									129	130					13			4637			
Minh ¶o Hñ Cèt Hé uyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ Hoµng Kim	3	49999	10	0	30	135	135	31																		36	95	39	3									2	309	232	307	335	425	13						
Minh ¶o Song Hoµn Xµ Hµi	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	160	160	31																		36	85	39	3									2	104	335	336	6	231	13						
Chó Ph­îc Ph¸ gi¸p ®Çu hoµn	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	Trang bÞ Hoµng Kim	4	49999	10	0	30	315	315	31																		36	85	39	3									2	337	6	307	233	31	14						
Chó Ph­îc DiÖt L«i C¶nh Phï 	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Trang bÞ Hoµng Kim	3	49999	10	0																						36	99	39	3									2	93	234	95	8	107	14						
Chó Ph­îc U ¶o ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10	0																						36	80	39	3									129	130					14			4638			
Chó Ph­îc Xuyªn T©m §éc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ Hoµng Kim	2	49999	10	0	30	111	111	31																		36	90	39	3									418	309	161	312	421	423	14						
Chó Ph­îc B¨ng Háa Thùc Cèt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Trang bÞ Hoµng Kim	0	49999	10	0	30	140	140	31																		36	95	39	3									2	104	236	27	6	235	14						
B¨ng Hµn §¬n ChØ Phi §ao	0	1	1	\spr\item\equip\rangeweapon\obj-adart12.spr	15	1	1	Trang bÞ Hoµng Kim	0	49999	10	0	28	44	44	29	100	100	167	-20	-20	31												36	99	39	2									2	44	46	69	113	162	15						
B¨ng Hµn HuyÒn Y Thóc Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	Trang bÞ Hoµng Kim	4	49999	10	0	30	720	720	31																		36	95	39	2									418	338	306	307	6	215	15						
B¨ng Hµn T©m TiÔn Yªu KhÊu	0	6	0	\spr\item\equip\sash\obj-sash10.spr	32	2	1	Trang bÞ Hoµng Kim	3	49999	10	0	30	160	160	31																		36	85	39	2									418	309	212	307	6	423	15						
B¨ng Hµn HuyÒn Thiªn B¨ng Háa Béi	0	9	1	\spr\item\equip\waist\obj-waist12.spr	36	1	2	Trang bÞ Hoµng Kim	1	49999	10	0																						36	80	39	2									129	130					15			4633			
B¨ng Hµn NguyÖt ¶nh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes04.spr	26	2	2	Trang bÞ Hoµng Kim	2	49999	10	0	30	160	160	31																		36	90	39	2									2	104	214	338	6	213	15						
Thiªn Quang Hoa Vò M¹n Thiªn	0	1	2	\spr\item\equip\rangeweapon\obj-adart26.spr	17	2	2	Trang bÞ Hoµng Kim	0	49999	10	0	28	46	46	29	102	102	167	0	0	31												36	99	39	2									8	43	48	71	113	162	16						
Thiªn Quang §Þnh T©m Ng­ng ThÇn Phï 	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Trang bÞ Hoµng Kim	4	49999	10	0																						36	95	39	2									2	317	212	107	8		16						
Thiªn Quang S©m La Thóc §¸i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Trang bÞ Hoµng Kim	3	49999	10	0	30	111	111	31																		36	90	39	2									2	309	217	307	6	425	16						
Thiªn Quang Song B¹o Hµn ThiÕt Tr¹c	0	8	1	\spr\item\equip\bangle\obj-bangle17.spr	34	1	2	Trang bÞ Hoµng Kim	1	49999	10	0	30	135	135	31																		36	85	39	2									2	339	437	317	6	216	16						
Thiªn Quang Thóc Thiªn Ph­îc §Þa Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Trang bÞ Hoµng Kim	2	49999	10	0																						36	80	39	2									129	130					16			4632			
S©m Hoang Phi Tinh §o¹t Hån	0	1	0	\spr\item\equip\rangeweapon\obj-adart04.spr	15	1	1	Trang bÞ Hoµng Kim	0	49999	10	0	28	42	42	29	98	98	167	0	0	31												36	99	39	2									4	43	48	71	113	162	17						
S©m Hoang KimTiÒn Liªn Hoµn Gi¸p	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	Trang bÞ Hoµng Kim	4	49999	10	0	30	720	720	31																		36	95	39	2									4	306	212	317			17						
S©m Hoang Hån Gi¶o Yªu Thóc	0	6	0	\spr\item\equip\sash\obj-sash08.spr	32	2	1	Trang bÞ Hoµng Kim	3	49999	10	0	30	160	160	31																		36	85	39	2									418	309	219	307	6	423	17						
S©m Hoang HuyÒn ThiÕt T­¬ng Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist11.spr	34	1	2	Trang bÞ Hoµng Kim	1	49999	10	0																						36	80	39	2									129	130					17			4634			
S©m Hoang Tinh VÉn Phi Lý 	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	Trang bÞ Hoµng Kim	2	49999	10	0	30	160	160	31																		36	90	39	2									418	340	320	307	6	214	17						
§Þa Ph¸ch Ngò hµnh Liªn Hoµn Qu¸n	0	7	3	\spr\item\equip\cap\obj-ma-cap12-3.spr	28	2	2	Trang bÞ Hoµng Kim	4	49999	10	0	30	315	315	31																		36	85	39	2									418	341	437	307	6	224	18						
§Þa Ph¸ch H¾c DiÖm Xung Thiªn Liªn	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	Trang bÞ Hoµng Kim	3	49999	10	0																						36	95	39	2									1	222	221	95	8	107	18						
§Þa Ph¸ch TÝch LÞch L«i Háa Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Trang bÞ Hoµng Kim	1	49999	10	0																						36	80	39	2									129	130					18			4635			
§Þa Ph¸ch KhÊu T©m tr¹c	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Trang bÞ Hoµng Kim	2	49999	10	0	30	111	111	31																		36	99	39	2									418	309	223	307	6	423	18						
§Þa Ph¸ch §Þa Hµnh Thiªn Lý Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ Hoµng Kim	0	49999	10	0	30	140	140	31																		36	90	39	2									2	104	163	224	6		18						
§ång Cõu Phi Long §Çu hoµn	0	7	5	\spr\item\equip\cap\obj-ma-cap18-3.spr	28	2	2	Trang bÞ Hoµng Kim	3	49999	10	0	30	315	315	31																		36	90	39	6									2	342	237	312	6		19						
§ång Cõu Gi¸ng Long C¸i Y	0	2	5	\spr\item\equip\armor\obj-ma-cloth18-3.spr	22	2	3	Trang bÞ Hoµng Kim	4	49999	10	0	30	500	500	31																		36	90	39	6									1	96	5	39	60	238	19						
§ång Cõu TiÒm Long Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	32	2	1	Trang bÞ Hoµng Kim	2	49999	10	0	30	140	140	31																		36	85	39	6									2	312	239	309	6	420	19						
§ång Cõu Kh¸ng Long Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	Trang bÞ Hoµng Kim	0	49999	10	0	30	111	111	31																		36	99	39	6									2	304	240	151	8	164	19			4591			
§ång Cõu KiÕn Long Ban ChØ 	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Trang bÞ Hoµng Kim	4	49999	10	0																						36	80	39	6									129	130					19			4647			
§Þch Kh¸i Lôc Ngäc Tr­îng	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Trang bÞ Hoµng Kim	2	49999	10	0	28	69	69	29	128	128	167	-10	-10	31												36	99	39	6									46	69	113	73	42	164	20			4591			
