Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ
Kh«ng sö dông	0	13	5	\spr\mel\ngamian.spr	37	1	1	Kh«ng sö dông		100	9	0																						36	80	39	4								
Nga Mi Ên - Cao CÊp	0	13	5	\spr\mel\ngamian.spr	37	1	1	<color>Nga Mi Ên - Cao CÊp!		100	10	0	85	200	200	89	200	200	121	50	50	169	400	400										36	80	39	4								
Thóy Yªn Ên - S¬ CÊp	0	13	6	\spr\mel\thuyyenan.spr	37	1	1	<color>Thóy Yªn Ên - S¬ CÊp!		100	1	0	85	200	200	89	200	200	121	10	10	169	100	100										36	80	39	5								
Kh«ng sö dông	0	13	6	\spr\mel\thuyyenan.spr	37	1	1	Kh«ng sö dông		100	2	0																						36	80	39	5								
Kh«ng sö dông	0	13	6	\spr\mel\thuyyenan.spr	37	1	1	Kh«ng sö dông		100	3	0																						36	80	39	5								
Kh«ng sö dông	0	13	6	\spr\mel\thuyyenan.spr	37	1	1	Kh«ng sö dông		100	4	0																						36	80	39	5								
Thóy Yªn Ên - Trung CÊp	0	13	6	\spr\mel\thuyyenan.spr	37	1	1	<color>Thóy Yªn Ên - Trung CÊp!		100	5	0	85	200	200	89	200	200	121	30	30	169	200	200										36	80	39	5								
Kh«ng sö dông	0	13	6	\spr\mel\thuyyenan.spr	37	1	1	Kh«ng sö dông		100	6	0																						36	80	39	5								
Kh«ng sö dông	0	13	6	\spr\mel\thuyyenan.spr	37	1	1	Kh«ng sö dông		100	7	0																						36	80	39	5								
Kh«ng sö dông	0	13	6	\spr\mel\thuyyenan.spr	37	1	1	Kh«ng sö dông		100	8	0																						36	80	39	5								
Kh«ng sö dông	0	13	6	\spr\mel\thuyyenan.spr	37	1	1	Kh«ng sö dông		100	9	0																						36	80	39	5								
Thóy Yªn Ên - Cao CÊp	0	13	6	\spr\mel\thuyyenan.spr	37	1	1	<color>Thóy Yªn Ên - Cao CÊp!		100	10	0	85	200	200	89	200	200	121	50	50	169	400	400										36	80	39	5								
C¸i Bang Ên - S¬ CÊp	0	13	7	\spr\mel\caibangan.spr	37	1	1	<color>C¸i Bang Ên - S¬ CÊp!		100	1	0	85	200	200	89	200	200	121	20	20	170	100	100										36	80	39	6								
Kh«ng sö dông	0	13	7	\spr\mel\caibangan.spr	37	1	1	Kh«ng sö dông		100	2	0																						36	80	39	6								
Kh«ng sö dông	0	13	7	\spr\mel\caibangan.spr	37	1	1	Kh«ng sö dông		100	3	0																						36	80	39	6								
Kh«ng sö dông	0	13	7	\spr\mel\caibangan.spr	37	1	1	Kh«ng sö dông		100	4	0																						36	80	39	6								
C¸i Bang Ên - Trung CÊp	0	13	7	\spr\mel\caibangan.spr	37	1	1	<color>C¸i Bang Ên - Trung CÊp!		100	5	0	85	200	200	89	200	200	121	40	40	170	200	200										36	80	39	6								
Kh«ng sö dông	0	13	7	\spr\mel\caibangan.spr	37	1	1	Kh«ng sö dông		100	6	0																						36	80	39	6								
Kh«ng sö dông	0	13	7	\spr\mel\caibangan.spr	37	1	1	Kh«ng sö dông		100	7	0																						36	80	39	6								
Kh«ng sö dông	0	13	7	\spr\mel\caibangan.spr	37	1	1	Kh«ng sö dông		100	8	0																						36	80	39	6								
Kh«ng sö dông	0	13	7	\spr\mel\caibangan.spr	37	1	1	Kh«ng sö dông		100	9	0																						36	80	39	6								
C¸i Bang Ên - Cao CÊp	0	13	7	\spr\mel\caibangan.spr	37	1	1	<color>C¸i Bang Ên - Cao CÊp!		100	10	0	85	200	200	89	200	200	121	60	60	170	300	300										36	80	39	6								
Thiªn NhÉn Ên - S¬ CÊp	0	13	8	\spr\mel\thiennhanan.spr	37	1	1	<color>Thiªn NhÉn Ên - S¬ CÊp!		100	1	0	85	200	200	89	200	200	121	20	20	170	100	100										36	80	39	7								
Kh«ng sö dông	0	13	8	\spr\mel\thiennhanan.spr	37	1	1	Kh«ng sö dông		100	2	0																						36	80	39	7								
Kh«ng sö dông	0	13	8	\spr\mel\thiennhanan.spr	37	1	1	Kh«ng sö dông		100	3	0																						36	80	39	7								
Kh«ng sö dông	0	13	8	\spr\mel\thiennhanan.spr	37	1	1	Kh«ng sö dông		100	4	0																						36	80	39	7								
Thiªn NhÉn Ên - Trung CÊp	0	13	8	\spr\mel\thiennhanan.spr	37	1	1	<color>Thiªn NhÉn Ên - Trung CÊp!		100	5	0	85	200	200	89	200	200	121	50	50	170	200	200										36	80	39	7								
Kh«ng sö dông	0	13	8	\spr\mel\thiennhanan.spr	37	1	1	Kh«ng sö dông		100	6	0																						36	80	39	7								
Kh«ng sö dông	0	13	8	\spr\mel\thiennhanan.spr	37	1	1	Kh«ng sö dông		100	7	0																						36	80	39	7								
Kh«ng sö dông	0	13	8	\spr\mel\thiennhanan.spr	37	1	1	Kh«ng sö dông		100	8	0																						36	80	39	7								
Kh«ng sö dông	0	13	8	\spr\mel\thiennhanan.spr	37	1	1	Kh«ng sö dông		100	9	0																						36	80	39	7								
Thiªn NhÉn Ên - Cao CÊp	0	13	8	\spr\mel\thiennhanan.spr	37	1	1	<color>Thiªn NhÉn Ên - Cao CÊp!		100	10	0	85	200	200	89	200	200	121	100	100	170	300	300										36	80	39	7								
Vâ §ang Ên - S¬ CÊp	0	13	9	\spr\mel\vodangan.spr	37	1	1	<color>Vâ §ang Ên - S¬ CÊp!		100	1	0	85	200	200	89	200	200	121	20	20	171	100	100										36	80	39	8								
Kh«ng sö dông	0	13	9	\spr\mel\vodangan.spr	37	1	1	Kh«ng sö dông		100	2	0																						36	80	39	8								
Kh«ng sö dông	0	13	9	\spr\mel\vodangan.spr	37	1	1	Kh«ng sö dông		100	3	0																						36	80	39	8								
Kh«ng sö dông	0	13	9	\spr\mel\vodangan.spr	37	1	1	Kh«ng sö dông		100	4	0																						36	80	39	8								
Vâ §ang Ên - Trung CÊp	0	13	9	\spr\mel\vodangan.spr	37	1	1	<color>Vâ §ang Ên - Trung CÊp!		100	5	0	85	200	200	89	200	200	121	50	50	171	200	200										36	80	39	8								
Kh«ng sö dông	0	13	9	\spr\mel\vodangan.spr	37	1	1	Kh«ng sö dông		100	6	0																						36	80	39	8								
Kh«ng sö dông	0	13	9	\spr\mel\vodangan.spr	37	1	1	Kh«ng sö dông		100	7	0																						36	80	39	8								
Kh«ng sö dông	0	13	9	\spr\mel\vodangan.spr	37	1	1	Kh«ng sö dông		100	8	0																						36	80	39	8								
Kh«ng sö dông	0	13	9	\spr\mel\vodangan.spr	37	1	1	Kh«ng sö dông		100	9	0																						36	80	39	8								
Vâ §ang Ên - Cao CÊp	0	13	9	\spr\mel\vodangan.spr	37	1	1	<color>Vâ §ang Ên - Cao CÊp!		100	10	0	85	200	200	89	200	200	121	100	100	171	300	300										36	80	39	8								
C«n L«n Ên - S¬ CÊp	0	13	10	\spr\mel\conlonan.spr	37	1	1	<color>C«n L«n Ên - S¬ CÊp!		100	1	0	85	200	200	89	200	200	121	10	10	171	100	100										36	80	39	9								
Kh«ng sö dông	0	13	10	\spr\mel\conlonan.spr	37	1	1	Kh«ng sö dông		100	2	0																						36	80	39	9								
Kh«ng sö dông	0	13	10	\spr\mel\conlonan.spr	37	1	1	Kh«ng sö dông		100	3	0																						36	80	39	9								
Kh«ng sö dông	0	13	10	\spr\mel\conlonan.spr	37	1	1	Kh«ng sö dông		100	4	0																						36	80	39	9								
C«n L«n Ên - Trung CÊp	0	13	10	\spr\mel\conlonan.spr	37	1	1	<color>C«n L«n Ên - Trung CÊp!		100	5	0	85	200	200	89	200	200	121	20	20	171	200	200										36	80	39	9								
Kh«ng sö dông	0	13	10	\spr\mel\conlonan.spr	37	1	1	Kh«ng sö dông		100	6	0																						36	80	39	9								
Kh«ng sö dông	0	13	10	\spr\mel\conlonan.spr	37	1	1	Kh«ng sö dông		100	7	0																						36	80	39	9								
Kh«ng sö dông	0	13	10	\spr\mel\conlonan.spr	37	1	1	Kh«ng sö dông		100	8	0																						36	80	39	9								
Kh«ng sö dông	0	13	10	\spr\mel\conlonan.spr	37	1	1	Kh«ng sö dông		100	9	0																						36	80	39	9								
C«n L«n Ên - Cao CÊp	0	13	10	\spr\mel\conlonan.spr	37	1	1	<color>C«n L«n Ên - Cao CÊp!		100	10	0	85	200	200	89	200	200	121	30	30	171	300	300										36	80	39	9								
